Date,PST,Outflow
19951001,0000,m
19951002,0000,1427
19951003,0000,1841
19951004,0000,3485
19951005,0000,2180
19951006,0000,1526
19951007,0000,1828
19951008,0000,1885
19951009,0000,1867
19951010,0000,1556
19951011,0000,1625
19951012,0000,1591
19951013,0000,1766
19951014,0000,1755
19951015,0000,1981
19951016,0000,1823
19951017,0000,m
19951018,0000,1403
19951019,0000,1414
19951020,0000,1457
19951021,0000,300
19951022,0000,300
19951023,0000,300
19951024,0000,300
19951025,0000,300
19951026,0000,300
19951027,0000,300
19951028,0000,309
19951029,0000,300
19951030,0000,418
19951031,0000,300
19951101,0000,300
19951102,0000,300
19951103,0000,300
19951104,0000,300
19951105,0000,300
19951106,0000,300
19951107,0000,310
19951108,0000,305
19951109,0000,m
19951110,0000,300
19951111,0000,300
19951112,0000,300
19951113,0000,300
19951114,0000,1308
19951115,0000,2136
19951116,0000,300
19951117,0000,300
19951118,0000,300
19951119,0000,1046
19951120,0000,803
19951121,0000,300
19951122,0000,1063
19951123,0000,300
19951124,0000,300
19951125,0000,1049
19951126,0000,463
19951127,0000,317
19951128,0000,1376
19951129,0000,300
19951130,0000,300
19951201,0000,1352
19951202,0000,300
19951203,0000,300
19951204,0000,300
19951205,0000,300
19951206,0000,300
19951207,0000,948
19951208,0000,300
19951209,0000,300
19951210,0000,498
19951211,0000,808
19951212,0000,300
19951213,0000,300
19951214,0000,300
19951215,0000,300
19951216,0000,300
19951217,0000,300
19951218,0000,300
19951219,0000,530
19951220,0000,301
19951221,0000,760
19951222,0000,933
19951223,0000,301
19951224,0000,300
19951225,0000,801
19951226,0000,676
19951227,0000,738
19951228,0000,300
19951229,0000,302
19951230,0000,300
19951231,0000,300
19960101,0000,300
19960102,0000,300
19960103,0000,300
19960104,0000,1092
19960105,0000,300
19960106,0000,300
19960107,0000,300
19960108,0000,1228
19960109,0000,307
19960110,0000,300
19960111,0000,300
19960112,0000,300
19960113,0000,300
19960114,0000,300
19960115,0000,300
19960116,0000,300
19960117,0000,300
19960118,0000,300
19960119,0000,300
19960120,0000,300
19960121,0000,300
19960122,0000,300
19960123,0000,300
19960124,0000,300
19960125,0000,398
19960126,0000,304
19960127,0000,2317
19960128,0000,m
19960129,0000,2351
19960130,0000,1481
19960131,0000,300
19960201,0000,300
19960202,0000,300
19960203,0000,300
19960204,0000,300
19960205,0000,974
19960206,0000,1369
19960207,0000,1873
19960208,0000,2352
19960209,0000,3588
19960210,0000,3309
19960211,0000,4100
19960212,0000,4317
19960213,0000,6257
19960214,0000,6199
19960215,0000,6184
19960216,0000,6884
19960217,0000,7176
19960218,0000,7186
19960219,0000,7202
19960220,0000,7216
19960221,0000,6280
19960222,0000,492
19960223,0000,6000
19960224,0000,6001
19960225,0000,6023
19960226,0000,5969
19960227,0000,4503
19960228,0000,4094
19960229,0000,4106
19960301,0000,4547
19960302,0000,4632
19960303,0000,3198
19960304,0000,2804
19960305,0000,2798
19960306,0000,2800
19960307,0000,2797
19960308,0000,3217
19960309,0000,3038
19960310,0000,2873
19960311,0000,2789
19960312,0000,3035
19960313,0000,2984
19960314,0000,2871
19960315,0000,900
19960317,0000,765
19960318,0000,880
19960319,0000,774
19960320,0000,807
19960321,0000,505
19960322,0000,1296
19960323,0000,1359
19960324,0000,1296
19960325,0000,1225
19960326,0000,300
19960327,0000,300
19960328,0000,1604
19960329,0000,1387
19960330,0000,1496
19960331,0000,1684
19960401,0000,1401
19960402,0000,1402
19960403,0000,1430
19960404,0000,1485
19960405,0000,1487
19960406,0000,1400
19960407,0000,1415
19960408,0000,1503
19960409,0000,1395
19960410,0000,1510
19960411,0000,1253
19960412,0000,1940
19960413,0000,1875
19960414,0000,1754
19960415,0000,1616
19960416,0000,1648
19960417,0000,1243
19960418,0000,906
19960419,0000,1579
19960420,0000,1788
19960421,0000,2212
19960422,0000,2154
19960423,0000,2037
19960424,0000,2008
19960425,0000,2187
19960426,0000,2132
19960427,0000,1997
19960428,0000,2009
19960429,0000,1634
19960430,0000,1565
19960501,0000,1591
19960502,0000,1554
19960503,0000,1735
19960504,0000,1932
19960505,0000,1690
19960506,0000,1423
19960507,0000,1534
19960508,0000,1735
19960509,0000,1705
19960510,0000,1665
19960511,0000,889
19960512,0000,870
19960513,0000,2004
19960514,0000,3056
19960515,0000,5427
19960516,0000,5267
19960517,0000,5395
19960518,0000,5149
19960519,0000,5271
19960520,0000,4176
19960521,0000,2164
19960522,0000,2184
19960523,0000,2107
19960524,0000,1317
19960525,0000,2233
19960526,0000,1611
19960527,0000,1500
19960528,0000,890
19960529,0000,800
19960530,0000,1671
